Wall time,Step,Value
1745037318.912406,4466,1.0
1745037346.2407234,4489,1.0
1745037353.3647783,4495,1.0
1745037389.0167947,4525,1.0
1745037401.0059211,4535,1.0
1745037405.7509499,4539,1.0
1745037435.438313,4564,1.0
1745037440.1892803,4568,1.0
1745037447.3280368,4574,1.0
1745037506.3309712,4609,1.0
1745037509.910709,4612,1.0
1745037553.8798084,4649,1.0
1745037564.5748887,4658,1.0
1745037565.7615566,4659,1.0
1745037575.2895439,4667,1.0
1745037588.352854,4678,1.0
1745037597.8670378,4686,1.0
1745037602.6266391,4690,1.0
1745037605.0041986,4692,1.0
1745037612.138577,4698,0.9375
1745037622.826389,4707,1.0
1745037633.5425677,4716,0.875
1745037650.1785758,4730,1.0
1745037658.5121853,4737,1.0
1745037684.6531904,4759,1.0
1745037692.9799643,4766,1.0
1745037700.1103985,4772,1.0
1745037704.8627036,4776,1.0
1745037706.0521176,4777,1.0
1745037738.13352,4804,1.0
1745037741.6957815,4807,0.875
1745037745.2557232,4810,1.0
1745037750.018856,4814,1.0
1745037769.0228283,4830,1.0
1745037771.3960989,4832,1.0
1745037774.9554121,4835,1.0
1745037776.143857,4836,1.0
1745037785.6607308,4844,1.0
1745037830.7545118,4882,1.0
1745037846.1911607,4895,1.0
1745037863.991754,4910,1.0
1745037886.5585406,4929,1.0
1745037891.3069062,4933,0.9375
1745037899.6359942,4940,0.9375
1745037910.3306315,4949,1.0
1745037947.2529347,4980,0.9375
1745037960.3329756,4991,1.0
1745037998.32085,5023,1.0
1745038044.2862556,5047,1.0
1745038066.8988152,5066,1.0
1745038082.3737667,5079,1.0
1745038083.561237,5080,1.0
1745038093.0738757,5088,1.0
1745038095.4531362,5090,1.0
1745038101.3927915,5095,0.9375
1745038145.427193,5132,1.0
1745038150.1786213,5136,1.0
1745038154.926642,5140,1.0
1745038168.007497,5151,1.0
1745038169.1953075,5152,1.0
1745038171.5801957,5154,1.0
1745038172.76809,5155,1.0
1745038210.7894504,5187,1.0
1745038223.8408632,5198,1.0
1745038226.2186244,5200,1.0
1745038232.1793032,5205,0.9375
1745038234.5557022,5207,1.0
1745038247.6146183,5218,0.9375
1745038255.9259512,5225,1.0
1745038271.3837965,5238,1.0
1745038289.2189033,5253,0.9375
1745038299.908733,5262,1.0
1745038303.4669561,5265,1.0
1745038339.106727,5295,1.0
1745038366.4433818,5318,1.0
1745038367.6311874,5319,1.0
1745038371.1922896,5322,1.0
1745038373.5673976,5324,1.0
1745038378.3235052,5328,1.0
1745038385.4553452,5334,1.0
1745038418.7341883,5362,1.0
1745038428.227708,5370,0.9375
1745038455.6455398,5393,0.9375
1745038466.3278115,5402,0.9375
1745038467.5214546,5403,1.0
1745038517.4162955,5445,1.0
1745038545.56633,5454,1.0
1745038551.506757,5459,1.0
1745038604.99737,5504,1.0
1745038610.9347143,5509,1.0
1745038612.1197746,5510,1.0
1745038625.1992898,5521,1.0
1745038653.7062073,5545,0.9375
1745038679.8454585,5567,1.0
1745038723.8127072,5604,1.0
1745038782.0202746,5653,1.0
1745038798.6549852,5667,1.0
1745038865.2136362,5723,1.0
1745038873.5273325,5730,1.0
1745038899.6915581,5752,1.0
1745038903.259515,5755,1.0
1745038905.637061,5757,1.0
1745038906.8248155,5758,1.0
1745038934.1432674,5781,1.0
1745038943.639065,5789,1.0
1745038994.841312,5832,0.9375
1745039052.6589692,5866,0.9375
1745039068.1160448,5879,1.0
1745039071.6821973,5882,1.0
1745039150.0834517,5948,1.0
1745039159.5761998,5956,1.0
1745039169.0798795,5964,1.0
1745039189.2422523,5981,1.0
1745039199.9289246,5990,1.0
1745039208.229078,5997,1.0
1745039215.3375986,6003,1.0
1745039222.4664154,6009,1.0
1745039265.1967576,6045,1.0
1745039274.7052405,6053,1.0
1745039302.0160015,6076,1.0
1745039304.3867822,6078,1.0
1745039305.5744371,6079,1.0
1745039343.5922427,6111,1.0
1745039345.968982,6113,1.0
1745039369.7452621,6133,1.0
1745039375.6998367,6138,1.0
1745039378.0808961,6140,1.0
1745039380.458459,6142,1.0
1745039411.3459926,6168,1.0
1745039455.3283064,6205,1.0
1745039462.4714212,6211,1.0
1745039474.4624312,6221,1.0
1745039479.2110972,6225,1.0
1745039500.6013575,6243,1.0
1745039543.3720975,6279,1.0
1745039545.7449286,6281,1.0
1745039571.5031316,6288,1.0
1745039581.035708,6296,1.0
1745039582.2285848,6297,1.0
1745039585.7913444,6300,1.0
1745039602.4266784,6314,1.0
1745039619.081669,6328,1.0
1745039623.8365068,6332,1.0
1745039626.213041,6334,1.0
1745039641.6874552,6347,1.0
1745039654.7682338,6358,1.0
1745039655.957641,6359,1.0
1745039661.8919544,6364,1.0
1745039667.8383603,6369,1.0
1745039711.818806,6406,1.0
1745039733.2189875,6424,1.0
1745039755.7845182,6443,1.0
1745039762.9283264,6449,1.0
1745039774.806265,6459,1.0
1745039791.4466653,6473,1.0
1745039812.83445,6491,1.0
1745039816.3958673,6494,1.0
1745039856.8163974,6528,1.0
1745039860.3780236,6531,1.0
1745039871.0568738,6540,1.0
1745039878.2030237,6546,1.0
1745039884.1526663,6551,1.0
1745039899.6087928,6564,1.0
1745039905.5465434,6569,1.0
1745039924.5785172,6585,1.0
1745039930.524832,6590,1.0
